36 26
####################################
#                            vvvvv #
####################################
#                                  #
#                                  #
#                                  #
#                                  #
#                                  #
#                p                 #
#                                  #
#                                  #
#                                  #
#                                  #
#                                  #
#                                  #
#                                  #
#                                  #
#                                  #
#                e                 #
#               e e                #
#      g      e     e       g      #
#           e         e            #
#  f e e e e e   f   e e e e e f   #
#   e e e f e e e e e e e f e e e  #
#j   g     h   h h h     h     g  j#
####################################
